iter	Passed	Remaining
418	3516	679
419	3524	671
420	3533	662
421	3540	654
422	3548	646
423	3556	637
424	3564	628
425	3571	620
426	3579	611
427	3586	603
428	3593	594
429	3601	586
430	3608	577
431	3616	569
432	3623	560
433	3631	552
434	3639	543
435	3646	535
436	3653	526
437	3660	518
438	3668	509
439	3676	501
440	3683	492
441	3691	484
442	3698	475
443	3706	467
444	3715	459
445	3722	450
446	3729	442
447	3737	433
448	3745	425
449	3753	417
450	3760	408
451	3768	400
452	3775	391
453	3782	383
454	3790	374
455	3797	366
456	3805	358
457	3813	349
458	3820	341
459	3829	332
460	3837	324
461	3844	316
462	3851	307
463	3859	299
464	3867	291
465	3876	282
466	3885	274
467	3892	266
468	3900	257
469	3908	249
470	3915	241
471	3924	232
472	3932	224
473	3939	216
474	3947	207
475	3955	199
476	3963	191
477	3972	182
478	3980	174
479	3989	166
480	3996	157
481	4004	149
482	4011	141
483	4019	132
484	4027	124
485	4034	116
486	4042	107
487	4050	99
488	4057	91
489	4065	82
490	4073	74
491	4082	66
492	4090	58
493	4097	49
494	4105	41
495	4113	33
496	4121	24
497	4128	16
498	4136	8
499	4144	0
