iter	Logloss
342	0.1458247988
343	0.1455962556
344	0.1451405618
345	0.144702372
346	0.1444474216
347	0.1441711392
348	0.1439877741
349	0.1436523085
350	0.1433503188
351	0.142905079
352	0.1426099861
353	0.1422024961
354	0.1417743524
355	0.141415393
356	0.1410032727
357	0.140674862
358	0.140201036
359	0.1400087273
360	0.1397502586
361	0.1394886657
362	0.1392187907
363	0.1389264815
364	0.1386632525
365	0.1383914121
366	0.138035677
367	0.1378903455
368	0.137700123
369	0.1374301242
370	0.1371121406
371	0.136906992
372	0.1365356811
373	0.1360854627
374	0.1358380032
375	0.1355962715
376	0.1353035979
377	0.1350926746
378	0.1348359343
379	0.1345430117
380	0.1342354012
381	0.1339854364
382	0.1335031806
383	0.1332427768
384	0.1330249654
385	0.132915532
386	0.132789747
387	0.1324264037
388	0.1322876461
389	0.1320216312
390	0.1318684705
391	0.1316976579
392	0.1314722771
393	0.1311682871
394	0.1309261321
395	0.1307264039
396	0.1304232415
397	0.1301788214
398	0.1299085125
399	0.1296809159
400	0.1294938452
401	0.1292014555
402	0.1289160788
403	0.1287117748
404	0.1284967015
405	0.1282752548
406	0.1279632565
407	0.1277326337
408	0.1274022299
409	0.1270823438
410	0.126932913
411	0.1266976669
412	0.1265422461
413	0.1263557679
414	0.1261001645
415	0.1258595785
416	0.1255963235
417	0.1253264937
418	0.1249394584
419	0.1246688011
420	0.1244618602
421	0.1242373979
422	0.1240431478
423	0.123821054
424	0.1235148318
425	0.123269749
426	0.1230315873
427	0.1227445607
428	0.1225823337
429	0.1224364122
430	0.122135908
431	0.1217504211
432	0.1214363945
433	0.1211721146
434	0.1208840046
435	0.1207218585
436	0.1204030257
437	0.1201746991
438	0.1199230018
439	0.1195557846
440	0.1194030199
441	0.1191908452
442	0.1191180631
443	0.1188079582
444	0.1185961175
445	0.1183543813
446	0.1181183905
447	0.1177957538
448	0.11761631
449	0.1173729815
450	0.1171623445
451	0.116965788
452	0.116575212
453	0.116291834
454	0.1161021438
455	0.1159897346
456	0.1158008562
457	0.11555419
458	0.1154129824
459	0.1152591146
460	0.115103031
461	0.1149617876
462	0.1146428466
463	0.1143874982
464	0.1141543199
465	0.1138685477
466	0.1134932994
467	0.1132620853
468	0.1132087644
469	0.1130229815
470	0.1128664762
471	0.1125587366
472	0.1122967843
473	0.1121328661
474	0.1118746256
475	0.1117615187
476	0.1115065868
477	0.1113571324
478	0.1111644509
479	0.1109722696
480	0.1106535487
481	0.1103670527
482	0.110199953
483	0.109880328
484	0.1096525468
485	0.1094586883
486	0.109181767
487	0.1089752576
488	0.1087120333
489	0.1085404532
490	0.1081665383
491	0.1078216648
492	0.1075197446
493	0.1073244764
494	0.1069377767
495	0.1067654733
496	0.1065281567
497	0.1064380565
498	0.1063029232
499	0.1062098373
